,Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,PROJECT ,SITE,Year,DATE,TRANSECT,d95,Mean,Std,Skewness,Kurtosis,Contact,Unnamed: 0.1,Unnamed: 0,Sample_ID,Sample_Type_Code,Project,Date,Location_Type,num_orig_dists,Measured_Distributions,Grainsize,Median,Wentworth,Kurtosis_Class,Skewness_Class,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,Notes,geometry
0,1,K,,,24,34.47088,-120.22726,0,BF,B,0.225,0.2405,0.236,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,K,,,38,34.46264,-120.07158,0,BF,E,0.2967,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,K,,,39,34.46245,-120.06668,0,BF,E,0.1988,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,K,,,42,34.46083,-120.02948,0,BF,E,0.2708,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,K,,,43,34.45901,-120.0212,0,BF,E,0.3691,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,K,,,44,34.46079,-120.00835,0,BF,B,0.2248,0.1964,0.1931,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,K,,,45,34.45653,-119.9995,0,BF,E,0.2661,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,K,,,46,34.45016,-119.99054,0,BF,E,0.2785,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,K,,,48,34.44465,-119.97148,0,BF,E,0.2568,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,K,,,49,34.4412,-119.96503,0,BF,E,0.3641,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,K,,,50,34.43529,-119.95495,0,BF,E,0.2871,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,K,,,51,34.43537,-119.94251,0,BF,E,0.2221,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,K,,,52,34.43531,-119.93288,0,BF,E,0.1574,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,K,,,53,34.43177,-119.9184,0,BF,E,0.247,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,K,,,54,34.42761,-119.91105,0,BF,B,0.2172,0.1943,0.1872,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,K,,,55,34.42189,-119.9022,0,BF,E,0.2032,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,K,,,56,34.41938,-119.89113,0,BF,E,0.2269,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,K,,,57,34.41225,-119.88411,0,BF,E,0.2493,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,K,,,58,34.40859,-119.87558,0,BF,E,0.2405,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,K,,,59,34.40936,-119.86249,0,BF,E,0.2527,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,K,,,60,34.40771,-119.85208,0,BF,E,0.2096,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,K,,,61,34.41047,-119.84152,0,BF,E,0.292,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,K,,,62,34.41647,-119.83084,0,BF,E,0.3174,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24,K,,,63,34.41712,-119.82249,0,BF,E,0.4231,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
