/* DATA DESCRIPTION:
Citation:	INLET-IPTM Project Members (2005): Sedimentological analysis to define sedimentary environments at Faro channel and Olhao-Armona inlet. PANGAEA, https://doi.org/10.1594/PANGAEA.883082, 
	In supplement to: Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Surficial sediment texture database for the south-western Iberian Atlantic margin. Earth System Science Data, 10(2), 1185-1195, https://doi.org/10.5194/essd-10-1185-2018
Original version:	Original data of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed) (URI: https://store.pangaea.de/Publications/Coasta-etal_2017/PLOSscripts.zip)
Further details:	Costas, Susana; Ramires, Margarida; de Sousa, Luisa B; Mendes, Isabel Maria de Paiva Pinto; Ferreira, Óscar (2018): Shape files of surficial sediment texture from the Iberian Atlantic Margin Sediments Database (IBAM-Sed). PANGAEA, https://doi.org/10.1594/PANGAEA.890946
Coverage:	MEDIAN LATITUDE: 37.006789 * MEDIAN LONGITUDE: -7.807286 * SOUTH-BOUND LATITUDE: 36.971698 * WEST-BOUND LONGITUDE: -7.920728 * NORTH-BOUND LATITUDE: 37.012020 * EAST-BOUND LONGITUDE: -7.794862
	DATE/TIME START: 2001-01-07T00:00:00 * DATE/TIME END: 2005-11-02T00:00:00
Event(s):	IBAM-Sed_INLET-IPTM * LATITUDE: 37.003200 * LONGITUDE: -7.856200 * DATE/TIME START: 2001-01-07T00:00:00 * DATE/TIME END: 2005-01-07T00:00:00 * METHOD/DEVICE: Dredge (DRG)
Comment:	INLET-IPTM (2005). Inlet monitoring
Parameter(s):	Sample ID (Sample ID) * PI: INLET-IPTM Project Members * COMMENT: Sample number
	Sample ID (Sample ID) * PI: INLET-IPTM Project Members * COMMENT: Acess number from laboratory
	Sample ID (Sample ID) * PI: INLET-IPTM Project Members * COMMENT: Reference sample in the collect
	DATE/TIME (Date/Time) * GEOCODE * PI: INLET-IPTM Project Members * COMMENT: of collecting
	Project (Project) * PI: INLET-IPTM Project Members
	Sample method (Sample method) * PI: INLET-IPTM Project Members
	LATITUDE (Latitude) * GEOCODE * PI: INLET-IPTM Project Members
	LONGITUDE (Longitude) * GEOCODE * PI: INLET-IPTM Project Members
	Chart datum [m] (Chart datum) * PI: INLET-IPTM Project Members * COMMENT: Hydrographic datum (m)
	Gravel [%] (Gravel) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving
	Sandstone [%] (Sdst) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving
	Mudstone [%] (Mudstone) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette
	Grain size, mean [phi] (Grain size mean) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Standard deviation [±] (Std dev) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: Of sample value
	Skewness (Skew) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Kurtosis (Kurt) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method
	Mode, grain size [phi] (Mode) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 1st Mode sample value
	Mode, grain size [phi] (Mode) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 2nd Mode sample value
	Mode, grain size [phi] (Mode) * PI: INLET-IPTM Project Members * METHOD/DEVICE: Grain size, sieving/pipette, Folk and Ward method * COMMENT: 3rd Mode sample value
	Observation (Obs) * PI: INLET-IPTM Project Members
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3152 data points
*/
Sample ID (Sample number)	Sample ID (Acess number from laboratory)	Sample ID (Reference sample in the collect)	Date/Time (of collecting)	Project	Sample method	Latitude	Longitude	Chart datum [m] (Hydrographic datum (m))	Gravel [%] (Grain size, sieving)	Sdst [%] (Grain size, sieving)	Mudstone [%] (Grain size, sieving/pipette)	Grain size mean [phi] (Grain size, sieving/pipette, ...)	Std dev [±] (Of sample value, Grain size, ...)	Skew (Grain size, sieving/pipette, ...)	Kurt (Grain size, sieving/pipette, ...)	Mode [phi] (1st Mode sample value, Grain ...)	Mode [phi] (2nd Mode sample value, Grain ...)	Mode [phi] (3rd Mode sample value, Grain ...)	Obs
1	880A	P0/T1	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0102	-7.8027		27.10	72.90	0.00	-0.892	1.600	-0.520	1.531	-0.243	-4.243		Approximate coordinates by geo-referencing
2	881A	P0/T2(A)	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0095	-7.8016	-9.30	0.10	17.40	82.50	5.002	2.509	-0.027	1.157	4.477	1.247		Approximate coordinates by geo-referencing
3	882A	P0/T2(B)	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0095	-7.8016	-9.30	19.20	80.60	0.20	-0.222	1.213	-0.474	1.672	0.247	-3.743		Approximate coordinates by geo-referencing
4	883A	P0/T3	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0088	-7.8005	-7.70	5.00	94.90	0.10	0.505	0.842	-0.117	0.963	0.747			Approximate coordinates by geo-referencing
5	884A	P0/T4	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0081	-7.7994	-0.70	1.40	98.50	0.10	0.694	0.651	0.006	1.109	0.747			Approximate coordinates by geo-referencing
6	885A	P0/T5	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0073	-7.7982	-2.10	0.10	99.80	0.10	1.366	0.590	-0.078	1.039	1.247			Approximate coordinates by geo-referencing
7	886A	P0/T6	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0066	-7.7971	-2.80	0.60	99.30	0.10	0.788	0.602	-0.036	1.055	0.747			Approximate coordinates by geo-referencing
8	887A	P2/T1	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0093	-7.8038	-3.00	1.20	98.70	0.10	1.794	0.615	-0.282	1.205	2.237			Approximate coordinates by geo-referencing
9	888A	P2/T2	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0086	-7.8027	-3.50	3.00	96.90	0.10	1.106	0.822	-0.227	1.072	1.247			Approximate coordinates by geo-referencing
10	889A	P2/T3	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0079	-7.8016	1.10	8.90	91.00	0.10	-0.028	0.761	-0.012	1.041	-0.243			Approximate coordinates by geo-referencing
11	890A	P2/T4	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0072	-7.8005	1.20	0.60	99.30	0.10	0.906	0.654	-0.037	1.088	0.747			Approximate coordinates by geo-referencing
12	891A	P2/T5	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0064	-7.7994	1.20	3.00	96.90	0.10	0.906	0.877	-0.111	1.014	1.247			Approximate coordinates by geo-referencing
13	892A	P2/T6	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0057	-7.7982	1.10	0.40	99.50	0.10	1.064	0.648	-0.074	1.126	1.247			Approximate coordinates by geo-referencing
14	893A	P1/T1	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0084	-7.8050	-0.90	12.80	87.20	0.00	0.141	1.028	0.023	0.986	-0.243			Approximate coordinates by geo-referencing
15	894A	P1/T2	2004-03-11	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0077	-7.8039	-1.10	19.80	80.10	0.10	-0.008	1.366	-0.261	1.241	0.747			Approximate coordinates by geo-referencing
16	895A	P1/T3	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0070	-7.8027	1.00	14.10	85.90	0.00	-0.061	1.152	-0.216	1.761	-0.243	-4.243		Approximate coordinates by geo-referencing
17	896A	P1/T4	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0063	-7.8016	0.80	4.30	95.60	0.10	0.894	0.955	-0.118	0.951	1.747	0.747		Approximate coordinates by geo-referencing
18	897A	P1/T5	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0055	-7.8005	0.50	0.90	99.00	0.10	1.046	0.901	0.173	1.052	0.747	2.237		Approximate coordinates by geo-referencing
19	898A	P1/T6	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0048	-7.7994	0.30	6.70	93.20	0.10	0.755	0.894	-0.338	1.496	1.247			Approximate coordinates by geo-referencing
20	899A	P3/T1	2004-03-12	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0111	-7.8016	-4.60	6.00	93.90	0.10	0.984	0.985	-0.282	1.208	1.247			Approximate coordinates by geo-referencing
21	900A	P3/T2	2004-03-12	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0104	-7.8005	-3.80	6.90	93.00	0.10	0.544	0.966	-0.225	1.352	0.747			Approximate coordinates by geo-referencing
22	901A	P3/T3	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0097	-7.7994	-4.90	9.50	90.50	0.00	0.367	0.934	-0.372	1.317	0.747			Approximate coordinates by geo-referencing
23	902A	P3/T4	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0089	-7.7982	-9.80	4.50	95.50	0.00	0.056	0.708	0.098	1.056	-0.243			Approximate coordinates by geo-referencing
24	903A	P3/T5	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0082	-7.7971	-4.50	1.50	98.50	0.00	0.400	0.617	-0.094	1.027	0.747			Approximate coordinates by geo-referencing
25	904A	P3/T6	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0075	-7.7960	-4.20	17.30	82.70	0.00	-0.117	1.144	-0.275	1.428	0.247			Approximate coordinates by geo-referencing
26	905A	P4/T1	2004-03-12	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0120	-7.8005	1.20	0.20	99.80	0.00	1.906	0.559	-0.299	1.098	2.237			Approximate coordinates by geo-referencing
27	906A	P4/T2	2004-03-12	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0113	-7.7993	1.00	0.10	99.80	0.10	1.693	0.584	-0.162	0.972	1.747			Approximate coordinates by geo-referencing
28	907A	P4/T3	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0106	-7.7982	1.20	0.10	99.90	0.00	2.015	0.390	-0.305	0.948	2.237			Approximate coordinates by geo-referencing
29	908A	P4/T4	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0098	-7.7971	0.60	0.90	99.10	0.00	1.557	0.704	-0.261	1.088	1.747			Approximate coordinates by geo-referencing
30	909A	P4/T5	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0091	-7.7960	-2.90	1.30	98.70	0.00	1.382	0.639	-0.280	1.347	1.747			Approximate coordinates by geo-referencing
31	910A	P4/T6	2004-03-17	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0084	-7.7949	-1.70	4.20	95.80	0.00	1.040	0.871	-0.342	1.158	1.247			Approximate coordinates by geo-referencing
32	911A	P0/T1	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0102	-7.8027		5.80	94.20	0.00	0.375	0.697	-0.283	1.308	0.747			Approximate coordinates by geo-referencing
33	912A	P0/T2	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0095	-7.8016		12.30	87.70	0.00	-0.388	0.585	0.059	1.070	-0.243			Approximate coordinates by geo-referencing
34	913A	P0/T3	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0088	-7.8005		9.80	90.20	0.00	0.678	1.391	-0.358	1.712	1.247	-4.243		Approximate coordinates by geo-referencing
35	914A	P0/T4	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0081	-7.7994		2.50	97.50	0.00	0.496	0.759	-0.053	1.044	0.747			Approximate coordinates by geo-referencing
36	915A	P0/T5	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0073	-7.7982		0.30	99.70	0.00	2.093	0.431	-0.164	1.153	2.237			Approximate coordinates by geo-referencing
37	916A	P0/T6	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0066	-7.7971		3.40	96.60	0.00	0.410	0.781	-0.016	1.059	0.747			Approximate coordinates by geo-referencing
38	917A	P2/T1	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0093	-7.8038		2.80	97.20	0.00	1.415	0.866	-0.394	1.351	1.747			Approximate coordinates by geo-referencing
39	918A	P2/T2	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0086	-7.8027		6.30	93.70	0.00	0.568	0.929	-0.181	1.042	0.747			Approximate coordinates by geo-referencing
40	919A	P2/T3	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0079	-7.8016		3.50	96.50	0.00	0.553	0.647	-0.189	1.180	0.747			Approximate coordinates by geo-referencing
41	920A	P2/T4	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0072	-7.8005		6.50	93.50	0.00	0.358	0.867	-0.072	0.969	0.747			Approximate coordinates by geo-referencing
42	921A	P2/T5	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0064	-7.7994		9.90	90.10	0.00	0.882	1.381	-0.379	0.940	1.747	-0.243	-4.243	Approximate coordinates by geo-referencing
43	922A	P2/T6	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0057	-7.7982		2.00	98.00	0.00	1.556	0.762	-0.238	1.071	1.747			Approximate coordinates by geo-referencing
44	923A	P1/T1	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0084	-7.8050		12.80	87.20	0.00	0.576	1.286	-0.359	1.097	1.247			Approximate coordinates by geo-referencing
45	924A	P1/T2	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0077	-7.8039		0.10	99.90	0.00	1.020	0.522	-0.055	1.036	1.247			Approximate coordinates by geo-referencing
46	925A	P1/T3	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0070	-7.8027		3.70	96.30	0.00	0.624	0.843	-0.115	0.992	0.747			Approximate coordinates by geo-referencing
47	926A	P1/T4	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0063	-7.8016		2.90	97.10	0.00	0.653	0.873	-0.061	0.925	0.747			Approximate coordinates by geo-referencing
48	927A	P1/T5	2005-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0055	-7.8005		0.10	99.90	0.00	1.324	0.685	-0.061	0.891	1.747			Approximate coordinates by geo-referencing
49	928A	P1/T6	2005-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0048	-7.7994		0.70	99.30	0.00	1.320	0.713	0.028	1.044	1.247			Approximate coordinates by geo-referencing
50	929A	P3/T1	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0111	-7.8016		10.80	89.20	0.00	0.563	1.201	-0.329	1.096	1.247			Approximate coordinates by geo-referencing
51	930A	P3/T2	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0104	-7.8005		7.00	93.00	0.00	0.747	1.014	-0.367	0.961	1.247			Approximate coordinates by geo-referencing
52	931A	P3/T3	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0097	-7.7994		1.70	98.30	0.00	0.039	0.500	-0.049	1.020	0.247			Approximate coordinates by geo-referencing
53	932A	P3/T4	2004-11-04	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0089	-7.7982		54.90	44.80	0.30	-2.042	2.263	-0.186	0.572	-4.243	-0.243		Approximate coordinates by geo-referencing
54	933A	P3/T5(A)	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0082	-7.7971		5.40	23.40	71.20	4.343	2.954	-0.165	0.969	4.477	1.247	-3.243	Approximate coordinates by geo-referencing
55	934A	P3/T5(B)	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0082	-7.7971		30.30	69.70	0.00	-0.290	1.771	-0.361	0.981	0.747	-3.743		Approximate coordinates by geo-referencing
56	935A	P3/T6	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0075	-7.7960		11.70	88.30	0.00	0.059	1.029	-0.136	1.460	0.247	1.747		Approximate coordinates by geo-referencing
57	936A	P4/T1	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0120	-7.8005		0.40	99.60	0.00	1.371	0.665	-0.143	1.107	1.247			Approximate coordinates by geo-referencing
58	937A	P4/T2	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0113	-7.7993		0.10	99.90	0.00	1.895	0.409	-0.070	0.983	1.747			Approximate coordinates by geo-referencing
59	938A	P4/T3	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0106	-7.7982		0.50	99.50	0.00	1.692	0.566	-0.203	1.121	1.747			Approximate coordinates by geo-referencing
60	939A	P4/T4	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0098	-7.7971		4.50	95.50	0.00	1.664	0.784	-0.381	1.756	1.747			Approximate coordinates by geo-referencing
61	940A	P4/T5	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0091	-7.7960		0.60	99.40	0.00	1.296	0.617	-0.154	1.117	1.247			Approximate coordinates by geo-referencing
62	941A	P4/T6	2004-11-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0084	-7.7949		11.90	88.10	0.00	0.810	1.639	-0.597	2.070	1.247	-5.235		Approximate coordinates by geo-referencing
63	942A	P0/T1	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0102	-7.8027		3.10	96.90	0.00	0.296	0.631	-0.075	1.069	0.247			Approximate coordinates by geo-referencing
64	943A	P0/T2	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0095	-7.8016		12.80	87.20	0.00	-0.362	0.644	0.163	1.087	-0.743			Approximate coordinates by geo-referencing
65	944A	P0/T3	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0088	-7.8005		7.90	92.10	0.00	0.759	1.136	-0.261	1.032	1.247			Approximate coordinates by geo-referencing
66	945A	P0/T4	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0081	-7.7994		3.30	96.70	0.00	0.385	0.707	-0.105	1.011	0.747			Approximate coordinates by geo-referencing
67	946A	P0/T5	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0073	-7.7982		2.80	97.20	0.00	0.975	0.977	-0.077	0.891	1.247			Approximate coordinates by geo-referencing
68	947A	P0/T6	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0066	-7.7971		1.50	98.50	0.00	0.335	0.637	0.001	1.083	0.247			Approximate coordinates by geo-referencing
69	948A	P2/T1	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0093	-7.8038		1.10	98.90	0.00	0.748	0.738	-0.007	0.967	0.747			Approximate coordinates by geo-referencing
70	949A	P2/T2	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0086	-7.8027		8.90	91.10	0.00	0.508	1.130	-0.231	1.242	0.747			Approximate coordinates by geo-referencing
71	950A	P2/T3	2005-02-02	Inlets Monitoring_IPTM	Dredge Petit Ponnar	37.0079	-7.8016		3.00	97.00	0.00	0.441	0.776	-0.015	1.055	0.747			Approximate coordinates by geo-referencing
